Leclerc,16/04/2024,10.4,Vie quotidienne,Course + porte serviette
SNCF,19/04/2024,17.435,Transport,N/A
Coiffeur,20/04/2024,24,Coiffeur,Coupe
Cadeau,22/04/2024,16.36,Loisir,cadeau 2 ans Pauline
SNCF,24/04/2024,49,Transport,Carte avantage jeune
SNCF,24/04/2024,-49,Transport,Virement Carte avantage jeune
SNCF,29/04/2024,42.735,Transport,Paris -> Arcachon
SNCF,28/04/2024,18.335,Transport,Bernay -> Paris
Carfour,01/05/2024,7.68,Nourriture,N/A
Monoprix,01/05/2024,5.98,Nourriture,N/A
Transport,02/05/2024,2,Transport,bus arcachon
Lidl,04/05/2024,56.51,Nourriture,N/A
course,10/05/2024,48.78,Nourriture,remboursement course et restau vacances Arcachon 
SNCF,10/05/2024,42.735,Transport,Arcachon -> Paris
SNCF,12/05/2024,12.935,Transport,Paris -> Rouen
franprix,11/05/2024,7.25,Nourriture,course soiree chez suzie 
Lidl,13/05/2024,45.84,Nourriture,N/A
INSA,13/05/2024,2,Loisir,imprimante
SNCF,17/05/2024,10.335,Transport,Rouen -> Paris
Lidl,18/05/2024,1.46,Nourriture,6 oeuf
SNCF,20/05/2024,10.335,Transport,Paris -> Rouen
Leclerc,21/05/2024,23.64,Nourriture,N/A
Izly,16/05/2024,20,Nourriture,N/A
Astuce,24/05/2024,1.8,Transport,2 ticket rouen
Buble tea,24/05/2024,5.5,Nourriture,N/A
leclerc,23/05/2024,17.31,Nourriture,N/A
Action,25/05/2024,2.87,Vie quotidienne,N/A
Laverie,25/05/2024,3,Vie quotidienne,N/A
Restau,29/05/2024,4.5,Nourriture,N/A
leclerc,30/05/2024,31.3,Nourriture,N/A
leclerc,25/05/2024,17.95,Vie quotidienne,N/A
Aldi,31/05/2024,5.26,Nourriture,N/A
Aldi,27/05/2024,5.87,Nourriture,N/A
Nouriture Pauline,01/06/2024,-174,Nourriture,N/A
Decathlon,01/06/2024,61.9,Loisir,Cadena velo + affaries plongé + selle velo
Tansport,06/06/2024,1.8,Transport,2 ticket metro rouen
Envie,06/06/2024,9,Vie quotidienne,aspi pass logement
T shirt inté,05/06/2024,15,Loisir,N/A
Lidl,05/06/2024,52,Nourriture,N/A
Izly,03/06/2024,40,Nourriture,N/A
SNCF,07/06/2024,10.335,Transport,Rouen -> Paris
Cadeau,09/06/2024,3.97,Loisir,Carte titine + sac course
Cadeau,09/06/2024,33.3,Loisir,nonette + chocolat + 2 torgoul
Restau,08/06/2024,13.8,Nourriture,aniv clelia
leclerc,07/06/2024,13.26,Nourriture,N/A
Le roy merlin,09/06/2024,4.9,Loisir,Cadre
Ikea,09/06/2024,29.97,Loisir,oreiller + drap * 2
SNCF,07/06/2024,6.94,Transport,4 ticket paris
SNCF,09/06/2024,10.335,Transport,Paris -> Rouen
INSA,11/06/2024,4,Vie quotidienne,recharge impression
leclerc,13/06/2024,30.12,Nourriture,N/A
Course de Pauline,13/06/2024,28.63,Nourriture,aldi pomme / cereal + leclerc
Aldi,14/06/2024,7.37,Nourriture,N/A
leclerc,15/06/2024,4.82,Nourriture,N/A
leclerc,15/06/2024,7.42,Vie quotidienne,N/A
Cadeau,15/06/2024,-100,Loisir,N/A
Epargne,15/06/2024,100,Loisir,N/A
Epargne,15/06/2024,-100,Epargne,N/A
leclerc,17/06/2024,5.18,Nourriture,N/A
leclerc,17/06/2024,2.5,Vie quotidienne,N/A
Aldi,18/06/2024,3.49,Nourriture,N/A
Laverie,18/06/2024,3,Vie quotidienne,N/A
Anouk,18/06/2024,50,Transport,Vélo Anouk
Eleclerc,21/06/2024,14.5,Nourriture,grop tup tup en verre
SNCF,23/06/2024,9.5,Transport,Rouen -> Bernay
Lidl,29/06/2024,30.02,Nourriture,N/A
leclerc,29/06/2024,20.65,Nourriture,N/A
Course de Pauline,29/06/2024,28.64,Nourriture,N/A
SNCF,29/06/2024,9.5,Transport,Bernay -> Rouen
Nouriture Pauline,01/07/2024,-174,Nourriture,N/A
Cantine,01/07/2024,2.14,Nourriture,Repas cantine 1
Cantine,02/07/2024,3.86,Nourriture,Repas cantine 2
Laverie,06/07/2024,3,Vie quotidienne,N/A
Thimberland,06/07/2024,91,Vêtement,chaussure
Devered,06/07/2024,20,Vêtement,porte monaie
Aldi,05/07/2024,4.5,Nourriture,course
chichi,07/07/2024,4,Nourriture,N/A
SNCF,07/07/2024,1.8,Transport,N/A
Lidl,09/07/2024,76.14,Nourriture,N/A
Aldi,06/07/2024,4.38,Nourriture,N/A
Leclerc,10/07/2024,39.72,Nourriture,N/A
